"gene_ID","description","organism","nomenclaturesymbol"
"XP_005165247.1","RUN and SH3 domain containing 2","Danio rerio","rusc2"
"XP_005165249.1","RUN and SH3 domain containing 2","Danio rerio","rusc2"
"XP_005165248.1","RUN and SH3 domain containing 2","Danio rerio","rusc2"
"XP_005165250.1","RUN and SH3 domain containing 2","Danio rerio","rusc2"
"XP_002662029.3",NA,NA,NA
"XP_009299647.1","protein unc-13 homolog B-like","Danio rerio",""
"XP_010741165.1","protein unc-13 homolog B-like","Larimichthys crocea",""
"XP_014028080.1","protein unc-13 homolog B-like","Salmo salar",""
"XP_012671309.1","protein unc-13 homolog B-like","Clupea harengus",""
"XP_009299640.1","protein unc-13 homolog B-like","Danio rerio",""
"XP_006626741.1",NA,NA,NA
"XP_007240262.1","excitatory amino acid transporter 5-like","Astyanax mexicanus",""
"XP_005157531.1","cell adhesion molecule 2b","Danio rerio","cadm2b"
"NP_996945.1","Kruppel-like factor 12a","Danio rerio","klf12a"
"XP_012675875.1","disintegrin and metalloproteinase domain-containing protein 33-like","Clupea harengus",""
"NP_001093471.1","calmodulin regulated spectrin-associated protein 1b","Danio rerio","camsap1b"
"NP_999941.1","SPRY domain containing 7a","Danio rerio","spryd7a"
"XP_012696153.1","karyopherin subunit alpha 3","Clupea harengus",""
"XP_008432469.1","karyopherin subunit alpha 3","Poecilia reticulata",""
"XP_013867149.1","karyopherin subunit alpha 3","Austrofundulus limnaeus",""
"XP_013867150.1","karyopherin subunit alpha 3","Austrofundulus limnaeus",""
"NP_001005397.1","emopamil binding protein-like","Danio rerio","ebpl"
"NP_955987.1","ADP-ribosylation factor-like 11","Danio rerio","arl11"
"XP_007251432.1","RCC1 and BTB domain-containing protein 1","Astyanax mexicanus",""
"NP_956285.1","regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 1","Danio rerio","rcbtb1"
"XP_005171027.1","regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 1","Danio rerio","rcbtb1"
"XP_010735711.1","cullin-3","Larimichthys crocea",""
"XP_005169261.1","si:ch73-1a9.3","Danio rerio","si:ch73-1a9.3"
"XP_014004331.1","NT-3 growth factor receptor-like","Salmo salar",""
"XP_009296135.1","neurotrophic tyrosine kinase, receptor, type 3a","Danio rerio","ntrk3a"
"XP_009291336.1","aftiphilin b","Danio rerio","aftphb"
"XP_687003.4","ATP-binding cassette, sub-family H, member 1","Danio rerio","abch1"
"XP_005158593.1","ATP-binding cassette, sub-family H, member 1","Danio rerio","abch1"
"XP_001344153.3","aftiphilin b","Danio rerio","aftphb"
"XP_010863923.1","MORN repeat containing 2","Esox lucius",""
"NP_001248355.1","MORN repeat containing 2","Danio rerio","morn2"
"XP_009291342.1","Rho guanine nucleotide exchange factor (GEF) 33","Danio rerio","arhgef33"
"XP_687624.2","Rho guanine nucleotide exchange factor (GEF) 33","Danio rerio","arhgef33"
"XP_009291339.1","mitogen-activated protein kinase kinase kinase kinase 3b","Danio rerio","map4k3b"
"XP_009291340.1","mitogen-activated protein kinase kinase kinase kinase 3b","Danio rerio","map4k3b"
"NP_001006091.1","speedy/RINGO cell cycle regulator family member A","Danio rerio","spdya"
"XP_005158544.1","speedy/RINGO cell cycle regulator family member A","Danio rerio","spdya"
"XP_001337498.2",NA,NA,NA
"XP_007257621.1","SH3 and cysteine rich domain","Astyanax mexicanus",""
"NP_956178.1","mitochondrial fission regulator 1-like","Danio rerio","mtfr1l"
"NP_001004294.4","selenoprotein N, 1","Danio rerio","sepn1"
"XP_013984190.1","nuclear receptor coactivator 7-like","Salmo salar",""
"XP_001338805.1",NA,NA,NA
"NP_956186.1","zinc metallopeptidase, STE24 homolog","Danio rerio","zmpste24"
"XP_690924.6","rearranged L-myc fusion","Danio rerio","rlf"
"XP_005158568.1","zinc finger protein 593","Danio rerio","znf593"
"XP_010733236.1",NA,NA,NA
"NP_001038324.1","ATPase inhibitory factor 1b","Danio rerio","atpif1b"
"NP_001082867.1","COMM domain containing 9","Danio rerio","commd9"
"XP_691263.4","THUMP domain containing 2","Danio rerio","thumpd2"
"XP_007244657.1","THUMP domain containing 2","Astyanax mexicanus",""
"XP_001344470.4","SH3 and cysteine rich domain","Danio rerio","stac"
"NP_001154822.1","gastrin-releasing peptide","Danio rerio","grp"
"XP_007246096.1","complexin 4","Astyanax mexicanus",""
"XP_688661.4","lectin, mannose-binding, 1","Danio rerio","lman1"
"XP_012715403.1","interleukin enhancer-binding factor 2 homolog","Fundulus heteroclitus",""
"XP_005159741.1","si:ch211-250g4.3","Danio rerio","si:ch211-250g4.3"
"NP_001157395.1","collagen and calcium binding EGF domains 1","Danio rerio","ccbe1"
"NP_571804.1","forkhead box C1b","Danio rerio","foxc1b"
"NP_956783.3","GDP-mannose 4,6-dehydratase","Danio rerio","gmds"
"XP_003200754.1","forkhead box F2b","Danio rerio","foxf2b"
"XP_007571035.1","forkhead box F2","Poecilia formosa",""
"XP_013887969.1","nitrilase 1","Austrofundulus limnaeus",""
"XP_005160661.1","myosin light chain kinase family, member 4b","Danio rerio","mylk4b"
"NP_001095945.1","GDP-mannose 4,6-dehydratase","Danio rerio","gmds"
"XP_697394.3",NA,NA,NA
"XP_009301639.1",NA,NA,NA
"XP_007258242.1","myosin light chain kinase family member 4","Astyanax mexicanus",""
"NP_001002653.1","serpin peptidase inhibitor, clade B (ovalbumin), member 1","Danio rerio","serpinb1"
"XP_002665768.3","finTRIM family, member 97","Danio rerio","ftr97"
"XP_009301747.1","anoctamin 1, calcium activated chloride channel","Danio rerio","ano1"
"NP_001107107.1","MAP7 domain containing 1b","Danio rerio","map7d1b"
"XP_005173805.1","MAP7 domain containing 1b","Danio rerio","map7d1b"
"NP_001084084.1","transforming growth factor beta receptor I S homeolog","Xenopus laevis","tgfbr1.S"
"XP_006808452.1","secretagogin-like","Neolamprologus brichardi",""
"XP_007906256.1","G-protein coupled receptor 54-like","Callorhinchus milii",""
"NP_001165295.1","G protein-coupled receptor 54 isoform 1b","Xenopus tropicalis",""
"XP_008286361.1","G-protein coupled receptor 54-like","Stegastes partitus",""
"NP_571574.1","G protein-coupled receptor 85","Danio rerio","gpr85"
"XP_014063302.1","probable G protein-coupled receptor 85","Salmo salar",""
"XP_004560897.1","G protein-coupled receptor 85","Maylandia zebra",""
"XP_001341412.1","adenomatosis polyposis coli down-regulated 1-like","Danio rerio","apcdd1l"
"XP_012697677.1","FMR1 autosomal homolog 1","Clupea harengus",""
"XP_009296924.1",NA,NA,NA
"XP_012672193.1","integrin alpha-M-like","Clupea harengus",""
"XP_009296954.1",NA,NA,NA
"XP_009296925.1",NA,NA,NA
"XP_013995477.1","uncharacterized LOC106569062","Salmo salar",""
"XP_007540300.1",NA,NA,NA
"XP_014061773.1","zinc finger CCHC domain-containing protein 24-like","Salmo salar",""
"XP_007247719.1",NA,NA,NA
"XP_014267405.1","uncharacterized LOC106676062","Maylandia zebra",""
"XP_009289992.1","si:dkey-52d15.2","Danio rerio","si:dkey-52d15.2"
"YP_009049367.1","ND5","Triplophysa siluroides",""
"XP_007258951.1","DNA polymerase epsilon 2, accessory subunit","Astyanax mexicanus",""
"XP_014066044.1","DNA polymerase epsilon 2, accessory subunit","Salmo salar",""
"XP_009292097.1",NA,NA,NA
"XP_006781246.1","receptor-type tyrosine-protein phosphatase R-like","Neolamprologus brichardi",""
"XP_014064308.1","protein tyrosine phosphatase, receptor type R","Salmo salar",""
"XP_005463521.1","protein tyrosine phosphatase, receptor type R","Oreochromis niloticus",""
"XP_007232308.1","kelch-like protein diablo","Astyanax mexicanus",""
"XP_014058561.1","kelch-like protein 24","Salmo salar",""
"NP_001006088.1","N-acylsphingosine amidohydrolase (acid ceramidase) 1a","Danio rerio","asah1a"
"XP_005913367.1","muscleblind-like protein 3","Haplochromis burtoni",""
"XP_001923586.1","fibrinogen-like 1","Danio rerio","fgl1"
"NP_997524.1","pancreas specific transcription factor, 1a","Danio rerio","ptf1a"
"XP_007238602.1","1-acylglycerol-3-phosphate O-acyltransferase 5","Astyanax mexicanus",""
"NP_001120992.1","si:dkeyp-69e1.8","Danio rerio","si:dkeyp-69e1.8"
"XP_005167750.1",NA,NA,NA
"XP_011963259.1","uncharacterized LOC105605746","Ovis aries",""
"NP_001082973.2","integrin-linked kinase-associated serine/threonine phosphatase","Danio rerio","ilkap"
"XP_009290265.1","integrin-linked kinase-associated serine/threonine phosphatase","Danio rerio","ilkap"
"XP_005157875.1","integrin-linked kinase-associated serine/threonine phosphatase","Danio rerio","ilkap"
"XP_005158921.1","ribokinase","Danio rerio","rbks"
"XP_009302537.1","G protein-coupled receptor 153","Danio rerio",""
"XP_009302535.1","G protein-coupled receptor 153","Danio rerio",""
"XP_009302536.1","G protein-coupled receptor 153","Danio rerio",""
"XP_007070209.1","G protein-coupled receptor 153","Chelonia mydas",""
"XP_002662361.1","nodal modulator","Danio rerio","nomo"
"XP_013882121.1","very long-chain acyl-CoA synthetase-like","Austrofundulus limnaeus",""
"XP_013993198.1","misshapen-like kinase 1","Salmo salar",""
"XP_005735591.1","misshapen-like kinase 1","Pundamilia nyererei",""
"XP_006132712.1","G protein subunit beta 2","Pelodiscus sinensis",""
"XP_005163715.1","Niemann-Pick disease, type C1","Danio rerio","npc1"
"XP_012813650.1","uncharacterized LOC105946668","Xenopus tropicalis",""
"XP_007246517.1","transforming growth factor beta induced","Astyanax mexicanus",""
"XP_009300585.1","solute carrier family 19 (folate transporter), member 1","Danio rerio","slc19a1"
"NP_001005602.2","phytanoyl-CoA 2-hydroxylase interacting protein-like b","Danio rerio","phyhiplb"
"XP_014019007.1","DEAH-box helicase 36","Salmo salar",""
"XP_005446013.1","phosphodiesterase 2A","Falco cherrug",""
"XP_007247746.1",NA,NA,NA
"XP_001920852.3","SET domain containing 1A","Danio rerio","setd1a"
"XP_009304500.1","uncharacterized LOC103911862","Danio rerio",""
"XP_007239485.1",NA,NA,NA
"XP_012686714.1","uncharacterized LOC105903494","Clupea harengus",""
"NP_001001400.1","ARP8 actin-related protein 8 homolog (yeast)","Danio rerio","actr8"
"XP_014107315.1","ARP8 actin-related protein 8 homolog","Pseudopodoces humilis",""
"XP_007237064.1",NA,NA,NA
"NP_001028767.2","heterogeneous nuclear ribonucleoprotein Ub","Danio rerio","hnrnpub"
"XP_006635148.1",NA,NA,NA
"XP_012690657.1","EPH receptor B1","Clupea harengus",""
"XP_007244461.1",NA,NA,NA
"XP_014046283.1","ephrin type-B receptor 1","Salmo salar",""
"NP_956549.1","DNA methyltransferase 1 associated protein 1","Danio rerio","dmap1"
"XP_007259235.1","myosin ID","Astyanax mexicanus",""
"XP_013129167.1","copine-9","Oreochromis niloticus",""
"XP_014002682.1","copine-9-like","Salmo salar",""
"NP_001018524.1","vitamin K epoxide reductase complex, subunit 1-like 1","Danio rerio","vkorc1l1"
"XP_009299404.1","glucuronidase, beta","Danio rerio","gusb"
"XP_013875101.1","nuclear transcriptional regulator 1-like protein","Austrofundulus limnaeus",""
"XP_007229525.1","probable assembly chaperone of rpl4","Astyanax mexicanus",""
"XP_012679195.1","transmembrane and tetratricopeptide repeat containing 1","Clupea harengus",""
"NP_956439.2","zgc:55888","Danio rerio","zgc:55888"
"NP_001136035.1","lipase maturation factor 2b","Danio rerio","lmf2b"
"YP_008854397.1","cytochrome c oxidase subunit III","Thymallus grubii",""
"XP_007249396.1","reactive intermediate imine deaminase A homolog","Astyanax mexicanus",""
"XP_012691562.1","ribonuclease UK114-like","Clupea harengus",""
"NP_001012315.1","heat-responsive protein 12","Danio rerio","hrsp12"
"NP_001018152.1","transmembrane p24 trafficking protein 8","Danio rerio","tmed8"
"XP_007249398.1","serine/threonine kinase 3","Astyanax mexicanus",""
"XP_002665285.3","tau tubulin kinase 2a","Danio rerio","ttbk2a"
"XP_009291538.1","tau tubulin kinase 2a","Danio rerio","ttbk2a"
"YP_009047862.1","cytochrome c oxidase subunit II","Ptychobarbus dipogon",""
"WP_017455658.1",NA,NA,NA
"XP_005169929.1","NADP-dependent oxidoreductase domain containing 1","Danio rerio","noxred1"
"XP_009291536.1","NADP-dependent oxidoreductase domain containing 1","Danio rerio","noxred1"
"XP_004570512.1","uncharacterized LOC101465935","Maylandia zebra",""
"XP_005454250.1","uncharacterized LOC102078988","Oreochromis niloticus",""
"XP_013121572.1","papilin","Oreochromis niloticus",""
"NP_571161.2","cadherin 4, type 1, R-cadherin (retinal)","Danio rerio","cdh4"
"XP_007256926.1",NA,NA,NA
"NP_998603.1","SAS-6 centriolar assembly protein","Danio rerio","sass6"
"NP_001092705.1","zgc:165514","Danio rerio","zgc:165514"
"XP_012690354.1","syntaxin 18","Clupea harengus",""
"NP_957314.1","glypican 1b","Danio rerio","gpc1b"
"XP_004066357.1","G protein-coupled receptor kinase 6-like","Oryzias latipes",""
"XP_009300584.1","cilia and flagella associated protein 100","Danio rerio","cfap100"
"XP_002662446.1","si:dkey-156n14.3","Danio rerio","si:dkey-156n14.3"
"NP_001091858.1","zinc finger, CCHC domain containing 24","Danio rerio","zcchc24"
"XP_005166280.1",NA,NA,NA
"XP_009296612.1",NA,NA,NA
"XP_009294871.1","uncharacterized LOC101885752","Danio rerio",""
"XP_700974.4","transmembrane protein 67","Danio rerio","tmem67"
"XP_009296235.1",NA,NA,NA
"XP_001339819.4","leucine rich repeat containing 29","Danio rerio","lrrc29"
"XP_009296234.1","leucine rich repeat containing 29","Danio rerio","lrrc29"
"XP_005163055.1","zgc:66449","Danio rerio","zgc:66449"
"XP_001924042.4","matrix metallopeptidase 15a","Danio rerio","mmp15a"
"XP_697818.6","MAP/microtubule affinity-regulating kinase 4a","Danio rerio","mark4a"
"XP_014192067.1","unconventional myosin-IXa-like","Haplochromis burtoni",""
"XP_014268475.1","zinc finger BED domain-containing protein 1-like","Maylandia zebra",""
"XP_005162429.1",NA,NA,NA
"XP_009289745.1","ATG16 autophagy related 16-like 2 (S. cerevisiae)","Danio rerio","atg16l2"
"XP_014070928.1","autophagy-related protein 16-2-like","Salmo salar",""
"XP_003439075.1",NA,NA,NA
"XP_006636613.1","RNA binding motif single stranded interacting protein 1","Lepisosteus oculatus",""
"XP_013920391.1","RNA binding motif single stranded interacting protein 1","Thamnophis sirtalis",""
"XP_007247713.1","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1","Astyanax mexicanus",""
"XP_005157386.1","protocadherin 18b","Danio rerio","pcdh18b"
"XP_005721862.1","PHD finger protein 5A","Pundamilia nyererei",""
"NP_001002690.1","cold shock domain containing C2, RNA binding a","Danio rerio","csdc2a"
"XP_007251337.1","cold shock domain-containing protein C2-like","Astyanax mexicanus",""
"XP_008313074.1","aconitate hydratase, mitochondrial-like","Cynoglossus semilaevis",""
"XP_007251336.1","aconitase 2","Astyanax mexicanus",""
"NP_001289630.1","chemokine (C-C motif) ligand 19b","Danio rerio","ccl19b"
"XP_005172195.1",NA,NA,NA
"XP_013770118.1","roundabout guidance receptor 1","Pundamilia nyererei",""
"XP_014006486.1","protein S100-A5-like","Salmo salar",""
"XP_692445.3","phosphatidylinositol glycan anchor biosynthesis, class O","Danio rerio","pigo"
"XP_005161240.1","retinoid X receptor, alpha a","Danio rerio","rxraa"
"XP_012685639.1","retinoid X receptor alpha","Clupea harengus",""
"XP_012690842.1","retinoic acid receptor RXR-gamma-B-like","Clupea harengus",""
"XP_013995192.1","retinoic acid receptor RXR-gamma-A-like","Salmo salar",""
"NP_001155023.1","retinoid X receptor, alpha a","Danio rerio","rxraa"
"XP_006630980.1","slit guidance ligand 1","Lepisosteus oculatus",""
"XP_005165675.1","early B-cell factor 2","Danio rerio","ebf2"
"NP_571493.2","early B-cell factor 2","Danio rerio","ebf2"
"XP_007237238.1","nuclear fragile X mental retardation-interacting protein 2-like","Astyanax mexicanus",""
"XP_009290872.1",NA,NA,NA
"XP_006639080.1","general transcription factor IIF subunit 2","Lepisosteus oculatus",""
"XP_007560159.1","general transcription factor IIF subunit 2","Poecilia formosa",""
"XP_013204527.1","uncharacterized LOC101998036","Microtus ochrogaster",""
"XP_006110587.1",NA,NA,NA
"XP_001921968.4","anoctamin-9-like","Danio rerio",""
"XP_012679063.1","uncharacterized LOC105896809","Clupea harengus",""
"XP_012672875.1","histone H2B-like","Clupea harengus",""
"XP_010614643.1","histone H2B type 2-F","Fukomys damarensis",""
"XP_010754651.1",NA,NA,NA
"XP_012682424.1","adenylate cyclase 7","Clupea harengus",""
"NP_001002632.1","protein kinase, AMP-activated, beta 1 non-catalytic subunit, a","Danio rerio","prkab1a"
"XP_013855911.1","uncharacterized LOC106511713","Austrofundulus limnaeus",""
"NP_001002427.1","enhancer of yellow 2 homolog (Drosophila)","Danio rerio","eny2"
"XP_007244774.1","kin of IRRE like 3 (Drosophila)","Astyanax mexicanus",""
"XP_007233422.1","JAZF zinc finger 1","Astyanax mexicanus",""
"XP_687231.3","WD repeat domain 11","Danio rerio","wdr11"
"XP_014059128.1","prostaglandin E2 receptor EP1 subtype-like","Salmo salar",""
"XP_006632090.1","sequestosome 1","Lepisosteus oculatus",""
"NP_998234.1","T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 subunit A3b","Danio rerio","tcirg1b"
"NP_001296775.1","zgc:123335","Danio rerio","zgc:123335"
"NP_001032483.1","zgc:123335","Danio rerio","zgc:123335"
"XP_003447668.2",NA,NA,NA
"XP_009300201.1","transcription termination factor 1-like","Danio rerio",""
"XP_014019171.1","growth hormone secretagogue receptor type 1-like","Salmo salar",""
"XP_003200046.1","motilin receptor","Danio rerio","mlnr"
"XP_002663564.1","si:dkey-242g16.2","Danio rerio","si:dkey-242g16.2"
"XP_007241420.1",NA,NA,NA
"XP_006802005.1","glutamate receptor ionotropic, NMDA 2C-like","Neolamprologus brichardi",""
"XP_014058880.1","glutamate receptor ionotropic, NMDA 2C-like","Salmo salar",""
"NP_001182370.1","uncharacterized LOC100329294","Danio rerio",""
"XP_009294654.1","si:ch73-6k16.1","Danio rerio","si:ch73-6k16.1"
"NP_001071023.1",NA,NA,NA
"XP_009300433.1","zgc:112023","Danio rerio","zgc:112023"
"NP_001017673.1","zgc:112023","Danio rerio","zgc:112023"
"XP_690894.3","si:ch211-207l14.1","Danio rerio","si:ch211-207l14.1"
"NP_991309.1","regucalcin","Danio rerio","rgn"
"YP_004222113.1","cytochrome c oxidase subunit I","Myomyrus macrops",""
"XP_007232342.1",NA,NA,NA
"XP_007257608.1",NA,NA,NA
"XP_007257607.1","methyl-CpG binding domain protein 5","Astyanax mexicanus",""
"XP_007233082.1","transcription initiation factor TFIID subunit 4-like","Astyanax mexicanus",""
"XP_007538596.1",NA,NA,NA
"XP_005075171.1","alpha-1-microglobulin/bikunin precursor","Mesocricetus auratus",""
"NP_957238.1","eukaryotic translation initiation factor 6","Danio rerio","eif6"
"XP_013983090.1","fumarylacetoacetate hydrolase","Salmo salar",""
"XP_007259963.1","FYN proto-oncogene, Src family tyrosine kinase","Astyanax mexicanus",""
"XP_009292762.1","FYN proto-oncogene, Src family tyrosine kinase b","Danio rerio","fynb"
"NP_001279062.1","DNA replication regulator and spliceosomal factor","Callorhinchus milii",""
"XP_010868646.1",NA,NA,NA
"XP_009303853.1","myosin XVIIIAa","Danio rerio","myo18aa"
"XP_007260460.1","claudin-10-like","Astyanax mexicanus",""
"XP_010777287.1","tropomyosin 1 (alpha)","Notothenia coriiceps",""
"XP_012724161.1","talin-2","Fundulus heteroclitus",""
"NP_001025277.1","F-box protein 22","Danio rerio","fbxo22"
"XP_014034132.1","target of Myb protein 1-like","Salmo salar",""
"XP_014034140.1","target of Myb protein 1-like","Salmo salar",""
"XP_012694288.1","spore coat protein SP96-like","Clupea harengus",""
"NP_001278818.1","bone gamma-carboxyglutamate (gla) protein, like","Danio rerio","bglapl"
"NP_001091957.2","selenoprotein T, 2","Danio rerio","selt2"
"XP_006637089.1",NA,NA,NA
"XP_007232255.1",NA,NA,NA
"XP_012991278.1",NA,NA,NA
"XP_005170729.1",NA,NA,NA
"XP_012811401.1","uncharacterized LOC105946341","Xenopus tropicalis",""
"XP_009291815.1",NA,NA,NA
"XP_003456478.2","NADH:ubiquinone oxidoreductase complex assembly factor 6","Oreochromis niloticus",""
"XP_014015273.1","potassium voltage-gated channel subfamily H member 2-like","Salmo salar",""
"NP_001036187.1","potassium voltage-gated channel, subfamily H (eag-related), member 2a","Danio rerio","kcnh2a"
"XP_005171300.1","si:dkey-77a20.5","Danio rerio","si:dkey-77a20.5"
"XP_009294928.1","myelin transcription factor 1b","Danio rerio","myt1b"
"XP_009294927.1",NA,NA,NA
"XP_009294926.1",NA,NA,NA
"XP_013923029.1","L-lactate dehydrogenase B chain","Thamnophis sirtalis",""
"XP_013979774.1","uncharacterized LOC106560895","Salmo salar",""
"NP_001093469.1","si:dkey-238o13.4","Danio rerio","si:dkey-238o13.4"
"NP_001096595.1","family with sequence similarity 46, member Ab","Danio rerio","fam46ab"
"XP_012723325.1","ATP-dependent RNA helicase DDX39A","Fundulus heteroclitus",""
"XP_014031180.1","ATP-dependent RNA helicase DDX39A","Salmo salar",""
"NP_001004677.2","FK506 binding protein 2","Danio rerio","fkbp2"
"XP_012695562.1","pyruvate carboxylase, mitochondrial-like","Clupea harengus",""
"XP_010755303.1",NA,NA,NA
"NP_998155.1","eukaryotic translation initiation factor 3, subunit I","Danio rerio","eif3i"
"XP_012681487.1","calcium voltage-gated channel subunit alpha1 D","Clupea harengus",""
"XP_007244860.1","WD repeat domain 70","Astyanax mexicanus",""
"XP_009303336.1",NA,NA,NA
"XP_007244858.1","chromosome unknown open reading frame, human C5orf42","Astyanax mexicanus",""
"XP_004069686.1","RAR related orphan receptor A","Oryzias latipes",""
"XP_009301520.1","vacuolar protein sorting 13 homolog C (S. cerevisiae)","Danio rerio","vps13c"
"XP_012992550.1",NA,NA,NA
"XP_009301519.1",NA,NA,NA
"XP_001923921.1","karyopherin alpha 6 (importin alpha 7)","Danio rerio","kpna6"
"XP_013985765.1","GTPase IMAP family member 7-like","Salmo salar",""
"XP_014039534.1","GTPase IMAP family member 4-like","Salmo salar",""
"XP_005926745.1","piggyBac transposable element-derived protein 4-like","Haplochromis burtoni",""
"XP_008280542.1","AP2-associated protein kinase 1-like","Stegastes partitus",""
"XP_011477638.1","AP2-associated protein kinase 1-like","Oryzias latipes",""
"XP_009295783.1","La ribonucleoprotein domain family, member 4B","Danio rerio","larp4b"
"XP_009295779.1","La ribonucleoprotein domain family, member 4B","Danio rerio","larp4b"
"XP_005162808.1","v-myb avian myeloblastosis viral oncogene homolog-like 1","Danio rerio","mybl1"
"XP_009295701.1",NA,NA,NA
"XP_007237613.1",NA,NA,NA
"XP_009297567.1","nuclear factor I/Xb","Danio rerio","nfixb"
"NP_001119855.1","salt-inducible kinase 1","Danio rerio","sik1"
"XP_005167506.1","salt-inducible kinase 1","Danio rerio","sik1"
"XP_005167518.1","carbohydrate kinase domain containing","Danio rerio","carkd"
"XP_005167515.1","carbohydrate kinase domain containing","Danio rerio","carkd"
"XP_005167514.1","carbohydrate kinase domain containing","Danio rerio","carkd"
"XP_005167519.1","carbohydrate kinase domain containing","Danio rerio","carkd"
"XP_005167520.1","carbohydrate kinase domain containing","Danio rerio","carkd"
"XP_005167512.1",NA,NA,NA
"XP_005167517.1","carbohydrate kinase domain containing","Danio rerio","carkd"
"XP_007227991.1","collagen type IV alpha 2 chain","Astyanax mexicanus",""
"XP_009302768.1",NA,NA,NA
"XP_005167510.1","ankyrin repeat domain 10b","Danio rerio","ankrd10b"
"XP_005167509.1","ankyrin repeat domain 10b","Danio rerio","ankrd10b"
"NP_001070845.1","ankyrin repeat domain 10b","Danio rerio","ankrd10b"
"XP_007253287.1","ankyrin repeat domain-containing protein 10-like","Astyanax mexicanus",""
"XP_005167508.1","ankyrin repeat domain 10b","Danio rerio","ankrd10b"
"NP_956013.1","ubiquitin conjugating enzyme E2 A, like","Danio rerio","ube2al"
"XP_005167511.1","inhibitor of growth family, member 1","Danio rerio","ing1"
"NP_001035446.1","inhibitor of growth family, member 1","Danio rerio","ing1"
"NP_571697.2","hes-related family bHLH transcription factor with YRPW motif 2","Danio rerio","hey2"
"NP_001076322.1","ring finger protein 217","Danio rerio","rnf217"
"NP_001038696.1","HD domain containing 2","Danio rerio","hddc2"
"XP_006630275.1",NA,NA,NA
"XP_005161742.1","glutaminase a","Danio rerio","glsa"
"XP_008326366.1","aryl hydrocarbon receptor-like","Cynoglossus semilaevis",""
"XP_010889350.1","aryl hydrocarbon receptor","Esox lucius",""
"XP_007230097.1","aryl hydrocarbon receptor-like","Astyanax mexicanus",""
"XP_005161737.1","major facilitator superfamily domain containing 6a","Danio rerio","mfsd6a"
"XP_014028877.1","aryl hydrocarbon receptor-like","Salmo salar",""
"XP_011603811.1","collagen type XIV alpha 1 chain","Takifugu rubripes",""
"XP_005158188.1","FXYD domain containing ion transport regulator 6 like","Danio rerio","fxyd6l"
"NP_997899.1","paraoxonase 2","Danio rerio","pon2"
"XP_005235953.2","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta","Falco peregrinus",""
"XP_007260719.1","DAB1, reelin adaptor protein","Astyanax mexicanus",""
"NP_001003621.1","interferon-related developmental regulator 2","Danio rerio","ifrd2"
"XP_007251221.1","3'-phosphoadenosine 5'-phosphosulfate synthase 2","Astyanax mexicanus",""
"XP_012683944.1","arrestin domain-containing protein 3-like","Clupea harengus",""
"XP_005165947.1","dedicator of cytokinesis 7","Danio rerio","dock7"
"XP_007248245.1",NA,NA,NA
"NP_001092700.1","taxilin alpha","Danio rerio","txlna"
"XP_694982.3","carbonic anhydrase IX","Danio rerio","ca9"
"NP_001025300.1","zgc:114200","Danio rerio","zgc:114200"
"NP_001017661.1","cathepsin S, ortholog 2, tandem duplicate 2","Danio rerio","ctss2.2"
"XP_012675772.1","nuclear factor 7, ovary-like","Clupea harengus",""
"XP_009290568.1","SHC (Src homology 2 domain containing) transforming protein 1","Danio rerio","shc1"
"XP_008287121.1","SHC adaptor protein 1","Stegastes partitus",""
"XP_005160675.1","adenosine deaminase, tRNA-specific 2, TAD2 homolog (S. cerevisiae)","Danio rerio","adat2"
"NP_956522.1","peroxisomal biogenesis factor 3","Danio rerio","pex3"
"XP_008306354.1","leucine-rich repeat-containing protein 30-like","Cynoglossus semilaevis",""
"XP_009293152.1","androgen-induced 1 (H. sapiens)","Danio rerio","aig1"
"XP_012683447.1","E3 ubiquitin-protein ligase RNF31-like","Clupea harengus",""
"XP_014046031.1","E3 ubiquitin-protein ligase RNF31-like","Salmo salar",""
"XP_009299425.1","cystatin 14b, tandem duplicate 1","Danio rerio","cst14b.1"
"XP_014051972.1","thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 1","Salmo salar",""
"XP_005168660.1",NA,NA,NA
"NP_001007458.1","PR domain containing 12b","Danio rerio","prdm12b"
"XP_006813235.1","keratin-associated protein 5-4-like","Saccoglossus kowalevskii",""
"XP_007229966.1",NA,NA,NA
"XP_012691903.1","myosin light chain 1","Clupea harengus",""
"XP_005159744.1","PHD finger protein 14","Danio rerio","phf14"
"XP_007249494.1",NA,NA,NA
"XP_005159747.1","PHD finger protein 14","Danio rerio","phf14"
"XP_012683977.1","IQ motif containing GTPase activating protein 2","Clupea harengus",""
"XP_005159746.1","PHD finger protein 14","Danio rerio","phf14"
"XP_012672018.1","CCR4-NOT transcription complex subunit 8","Clupea harengus",""
"XP_014053288.1","zinc finger protein 135-like","Salmo salar",""
"XP_005466558.2","zinc finger MYM-type protein 1-like","Oreochromis niloticus",""
"NP_001038847.1","troponin I, skeletal, slow c","Danio rerio","tnni1c"
"XP_005165875.1",NA,NA,NA
"XP_012685722.1","cAMP responsive element binding protein 3 like 2","Clupea harengus",""
